region,x_final_say_women,x_wifebeating_justified_women,x_no_land_women,x_women_no_education,x_women_secondary_plus,x_women_literate,x_women_cannot_read,x_ipv_any,x_own_decision_all3,m_skilled_delivery,y_asfr_15_19,m_modern_cpr_married,m_fp_demand_satisfied_modern,y_women_any_anemia,y_children_any_anemia,y_u5mr,y_nmr,y_imr,m_ever_hiv_test,m_anc_hiv_test,m_hiv_mtct_knowledge_women,ctx_total_pop,ctx_n_districts,ctx_illiteracy_rate,ctx_uninsured_rate,ctx_poverty_incidence,ctx_female_15_64_share,belt,x_final_say_women_z,x_wifebeating_justified_women_z,x_no_land_women_z,x_women_no_education_z,x_women_secondary_plus_z,x_women_literate_z,x_women_cannot_read_z,x_ipv_any_z,x_own_decision_all3_z,m_skilled_delivery_z,y_asfr_15_19_z,m_modern_cpr_married_z,m_fp_demand_satisfied_modern_z,y_women_any_anemia_z,y_children_any_anemia_z,y_u5mr_z,y_nmr_z,y_imr_z,m_ever_hiv_test_z,m_anc_hiv_test_z,m_hiv_mtct_knowledge_women_z,ctx_illiteracy_rate_z,ctx_uninsured_rate_z,ctx_poverty_incidence_z,ctx_female_15_64_share_z
Ahafo,45.2,22.8,84.0,17.5,70.7,48.3,51.7,38.5,37.4,93.4,60.0,35.8,53.5,35.6,35.4,29.0,13.0,17.0,57.4,71.3,79.6,564668.0,6.0,26.755899041560703,21.85815381781861,24.718009343543468,29.706836583620817,Middle,-0.7109685212410813,-0.12118503032915962,-0.38564682154006125,-0.28846797056446816,0.4642320985836386,-0.35568560195970156,0.38416449188807433,1.2355427814094722,-1.026614585260168,0.759098128920211,-0.37573637891174294,1.273790206756941,0.895070083586699,-1.1563522467588672,-1.3528616950770498,-1.3483604676811158,-0.8695700807178465,-1.4425524947002812,0.36603372935180994,-0.002840954246715151,1.0476931952068247,-0.4592105392619822,-0.7026291234471197,-0.46310246383294745,-0.05322351266939521
Ashanti,55.2,16.0,88.0,9.0,79.8,61.5,38.3,24.1,47.8,93.6,62.0,32.1,47.7,37.5,40.6,45.0,23.0,34.0,62.9,76.0,75.7,5440427.0,43.0,18.837969887290097,28.01655090675787,18.18330355319537,31.363310269579944,Middle,0.21764342486971877,-0.5870836628313703,0.434333131236145,-0.8019711642394378,0.9894239676883606,0.5117601155216942,-0.4986315109072441,-0.7805270262161822,-0.10520861445492553,0.783196482219264,-0.2898537780176303,0.6968324390445397,0.06194567278584054,-0.810016204379857,-0.9044230774260118,0.015988464043649595,0.46823004346345576,0.45297542104115107,0.9474591478167791,0.30235870197180714,0.7472517642283976,-1.0910265290953858,-0.07821791045097297,-1.0515122969073638,0.8462514338172791
Bono,71.3,17.2,85.2,11.8,77.4,61.5,38.1,18.3,61.7,91.3,36.0,28.3,45.4,30.1,40.1,36.0,13.0,24.0,54.5,80.8,77.8,1208649.0,12.0,24.431162397023453,14.205695780991835,17.067288518006468,31.22395335618529,Middle,1.7127086581081064,-0.5048662570956861,-0.1396528357071988,-0.6328171710288595,0.8509118263860168,0.5117601155216942,-0.5118075706504576,-1.5925551431765153,1.1262859042174664,0.5060654192801401,-1.4063275896410952,0.10428121815072122,-0.2684312487386386,-2.1589039483823185,-0.9475421752770731,-0.751457810051531,-0.8695700807178465,-0.6620409999832209,0.059463963252099114,0.6140519678971061,0.9090279193706274,-0.6447143187922744,-1.4785259251910525,-1.152002547215796,0.7705798108505518
Bono East,57.4,19.0,92.8,24.0,57.8,44.9,54.7,24.6,50.9,87.6,92.0,20.7,40.0,40.3,51.4,48.0,24.0,36.0,53.1,62.5,63.6,1203400.0,11.0,36.37045039056008,21.34626890476982,24.125715223533323,29.18638856573043,Middle,0.4219380530140944,-0.3815401484921597,1.418309074567592,0.10421094224580275,-0.2802706609164626,-0.5791185897958185,0.5818053880362799,-0.7105246023402914,0.1694412422274065,0.06024588324763569,0.9983852353940599,-1.0808212236369157,-1.0440988036221965,-0.2996262471897368,0.02694943615691272,0.27180388874204314,0.602010055881586,0.6759787052460254,-0.08853523417534742,-0.5742786084430969,-0.18488703444826313,0.30798845418894083,-0.7545300767073904,-0.5164348854395769,-0.33582984503017566
Central,56.9,19.3,83.6,7.4,76.6,72.9,26.9,34.8,59.4,85.0,60.0,34.5,47.9,44.4,44.7,46.0,14.0,34.0,57.4,76.7,69.9,2857261.0,22.0,21.25493610839192,41.93092615620344,22.50261974667348,31.27831164181361,Coastal/South,0.3755074557085544,-0.36098579705823863,-0.46764481681768305,-0.8986305889311967,0.8047411126185681,1.2609177806192635,-1.249666916270425,0.71752484472788,0.9225134299047683,-0.2530327096400692,-0.37573637891174294,1.07107531539853,0.09067410074449023,0.4477304758386545,-0.5508464750473088,0.10126027227644745,-0.7357900682997163,0.45297542104115107,0.36603372935180994,0.3478139699192468,0.30044143097842824,-0.898163234207769,1.3325862001177344,-0.6625845927475268,0.8000966794075843
Eastern,43.2,7.5,86.5,7.8,75.5,66.7,33.2,27.0,42.1,90.3,65.0,28.6,45.6,37.5,38.3,42.0,15.0,26.0,66.2,78.8,74.0,2925653.0,33.0,21.000850066634698,26.412257366133304,21.61311091916916,31.15089178381715,Middle,-0.8966909104632413,-1.1694569534591335,0.12684064894506766,-0.874465732758257,0.7412563811883272,0.8534811557416381,-0.8346210343591931,-0.3745129677360158,-0.6102099638385677,0.38557365278486877,-0.16102987667646126,0.15106157769497014,-0.23970282077998786,-0.810016204379857,-1.1027709275408943,-0.23982696065474393,-0.602010055881586,-0.43903771577834644,1.296314398895761,0.48417977376156485,0.6162901148275441,-0.9184381849995559,-0.24088018461683253,-0.7426793602094537,0.7309069476755395
Greater Accra,68.9,5.8,94.2,4.4,84.6,79.2,20.5,24.0,69.0,94.0,39.0,23.8,41.0,38.8,36.2,20.0,10.0,16.0,62.1,88.4,78.7,5445135.0,29.0,10.564531457897738,39.62509653112365,11.6732502499938,33.92319933298256,Coastal/South,1.4898417910415152,-1.2859316115846862,1.7053020580392653,-1.079867010228245,1.2664482502930492,1.6749259639626566,-1.6713008280532635,-0.7945275109913605,1.773042018340377,0.8313931888173732,-1.277503688299926,-0.597424175013011,-0.9004566638289451,-0.5730494385415872,-1.2838711385153514,-2.1158067417762965,-1.270910117972237,-1.5540541368027183,0.8628881778582385,1.1075663056121638,0.9783605572887266,-1.751210598533904,1.0987938914430573,-1.6377023260132246,2.2362862395815926
North East,42.5,34.4,90.5,55.1,33.2,27.2,72.0,25.6,28.5,85.2,121.0,14.9,37.7,45.0,64.9,41.0,11.0,20.0,38.9,52.3,42.6,658946.0,6.0,50.8208563372416,24.548445547890115,48.13558136782074,26.907971214636703,Northern,-0.9616937466909976,0.6735832251157877,0.9468206017212739,1.9830285096918683,-1.7000201092654919,-1.7422844382367806,1.721534555824265,-0.5705197545885098,-1.8151254641223467,-0.22893435634101458,2.2436829483586935,-1.9852415081590595,-1.3744757251466748,0.5570997523793949,1.1911650781355692,-0.3250987688875418,-1.137130105554107,-1.1080475683929696,-1.5896699509394498,-1.2366267985343578,-1.8026485858705665,1.4610674169847546,-0.429855494493487,1.6455050370839548,-1.573023856815948
Northern,49.7,47.0,86.3,53.4,37.8,34.1,65.9,36.7,40.1,71.6,73.0,17.2,36.6,48.4,69.4,52.0,15.0,25.0,39.6,46.9,45.0,2303508.0,16.0,46.57761119127869,35.25488081656326,38.36574620101168,27.462461602043494,Northern,-0.2930931454912213,1.5368659853404723,0.08584165130625676,1.880327870956874,-1.4345385051026656,-1.2888469040987782,1.3196647336562475,0.9835340554562658,-0.7874034197626528,-1.8676223806767063,0.18250052689998944,-1.6265920849864852,-1.5324820789192517,1.1768589861102554,1.5792369587951212,0.6128911216732346,-0.602010055881586,-0.5505393578807837,-1.5156703522257262,-1.5872817227003193,-1.6177615514223034,1.1224750805584625,0.6556896784515731,0.7657918159994513,-1.271932317742502
Oti,47.9,24.1,91.9,28.2,48.9,40.8,57.8,32.3,50.5,70.3,73.0,28.5,49.4,51.8,60.6,72.0,32.0,44.0,57.5,72.5,56.1,747248.0,9.0,40.78284585572661,47.71093398711004,40.75219873455667,27.59298117893925,Middle,-0.4602432957911657,-0.032116174115501654,1.2338135851929473,0.3579419320616701,-0.7939198515793228,-0.8485524868923127,0.7860343140560919,0.3675127253484261,0.13400255104258962,-2.024261677120559,0.18250052689998944,0.13546812451355364,0.30613731043436754,1.796618219841116,0.8203408366164414,2.3183272863291915,1.6722501552266278,1.567991842065523,0.3766051005966277,0.07508236223460983,-0.7626590170990858,0.6600782435825447,1.9186318299628307,0.9806771041752828,-1.2010594204312484
