region,x_final_say_women,x_wifebeating_justified_women,x_no_land_women,x_women_no_education,x_women_secondary_plus,x_women_literate,x_women_cannot_read,x_ipv_any,x_own_decision_all3,m_skilled_delivery,y_asfr_15_19,m_modern_cpr_married,m_fp_demand_satisfied_modern,y_women_any_anemia,y_children_any_anemia,y_u5mr,y_nmr,y_imr,m_ever_hiv_test,m_anc_hiv_test,m_hiv_mtct_knowledge_women,ctx_total_pop,ctx_n_districts,ctx_illiteracy_rate,ctx_uninsured_rate,ctx_poverty_incidence,ctx_female_15_64_share
Ahafo,45.2,22.8,84.0,17.5,70.7,48.3,51.7,38.5,37.4,93.4,60.0,35.8,53.5,35.6,35.4,29.0,13.0,17.0,57.4,71.3,79.6,564668.0,6.0,26.755899041560706,21.85815381781861,24.718009343543468,29.706836583620817
Ashanti,55.2,16.0,88.0,9.0,79.8,61.5,38.3,24.1,47.8,93.6,62.0,32.1,47.7,37.5,40.6,45.0,23.0,34.0,62.9,76.0,75.7,5440427.0,43.0,18.837969887290097,28.01655090675787,18.183303553195366,31.363310269579944
Bono,71.3,17.2,85.2,11.8,77.4,61.5,38.1,18.3,61.7,91.3,36.0,28.3,45.4,30.1,40.1,36.0,13.0,24.0,54.5,80.8,77.8,1208649.0,12.0,24.431162397023453,14.205695780991835,17.067288518006468,31.223953356185294
Bono East,57.4,19.0,92.8,24.0,57.8,44.9,54.7,24.6,50.9,87.6,92.0,20.7,40.0,40.3,51.4,48.0,24.0,36.0,53.1,62.5,63.6,1203400.0,11.0,36.37045039056008,21.34626890476982,24.125715223533323,29.18638856573043
Central,56.9,19.3,83.6,7.4,76.6,72.9,26.9,34.8,59.4,85.0,60.0,34.5,47.9,44.4,44.7,46.0,14.0,34.0,57.4,76.7,69.9,2857261.0,22.0,21.254936108391917,41.93092615620344,22.502619746673478,31.278311641813612
Eastern,43.2,7.5,86.5,7.8,75.5,66.7,33.2,27.0,42.1,90.3,65.0,28.6,45.6,37.5,38.3,42.0,15.0,26.0,66.2,78.8,74.0,2925653.0,33.0,21.000850066634698,26.412257366133304,21.613110919169156,31.15089178381715
Greater Accra,68.9,5.8,94.2,4.4,84.6,79.2,20.5,24.0,69.0,94.0,39.0,23.8,41.0,38.8,36.2,20.0,10.0,16.0,62.1,88.4,78.7,5445135.0,29.0,10.564531457897738,39.62509653112365,11.673250249993801,33.92319933298256
North East,42.5,34.4,90.5,55.1,33.2,27.2,72.0,25.6,28.5,85.2,121.0,14.9,37.7,45.0,64.9,41.0,11.0,20.0,38.9,52.3,42.6,658946.0,6.0,50.820856337241594,24.548445547890115,48.13558136782074,26.907971214636706
Northern,49.7,47.0,86.3,53.4,37.8,34.1,65.9,36.7,40.1,71.6,73.0,17.2,36.6,48.4,69.4,52.0,15.0,25.0,39.6,46.9,45.0,2303508.0,16.0,46.57761119127869,35.25488081656326,38.365746201011675,27.462461602043494
Oti,47.9,24.1,91.9,28.2,48.9,40.8,57.8,32.3,50.5,70.3,73.0,28.5,49.4,51.8,60.6,72.0,32.0,44.0,57.5,72.5,56.1,747248.0,9.0,40.78284585572661,47.71093398711004,40.75219873455667,27.592981178939255
Savannah,38.1,57.8,83.9,46.9,31.8,30.9,68.4,46.9,39.1,72.0,116.0,19.1,42.7,43.2,62.8,63.0,32.0,46.0,31.3,32.8,39.4,653277.0,7.0,53.627634219481166,36.290118892904545,49.43222017612744,27.33097904870369
Upper East,63.3,21.2,81.5,25.9,56.8,55.2,44.7,29.5,52.5,98.0,70.0,30.9,57.9,47.0,69.3,49.0,27.0,36.0,51.5,70.3,72.4,1301226.0,15.0,43.78739742366046,13.544534154712556,42.94046683666019,29.177022285137248
Upper West,39.3,48.4,76.1,34.6,47.2,51.0,48.6,22.2,40.8,91.7,57.0,33.8,61.9,46.3,61.2,42.0,16.0,25.0,49.6,70.0,61.7,901502.0,11.0,45.15430914185437,16.11066863967024,37.2170834895541,29.297217310665978
Volta,56.8,12.7,87.7,6.7,76.4,72.0,26.3,36.3,54.5,93.5,44.0,29.3,46.0,43.0,51.3,47.0,29.0,38.0,61.4,88.9,69.8,1659040.0,18.0,25.125012055164433,32.0040505352493,27.25481633956987,31.391105699681745
Western,68.9,12.6,84.2,9.7,76.9,65.4,34.6,28.2,69.0,86.8,76.0,35.5,56.1,45.9,46.1,48.0,25.0,36.0,61.1,85.4,73.0,2060585.0,14.0,23.45950300521454,36.24247483117659,25.565634467881694,30.38316788678943
Western North,41.1,27.3,77.7,14.0,71.1,47.8,52.2,25.8,40.5,89.3,56.0,29.1,46.9,36.3,45.1,37.0,13.0,22.0,58.5,87.9,76.7,880921.0,9.0,31.62076962633426,25.506827513477372,28.23037094132164,29.50185090377003
