ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),2835460,Men who have heard of HIV or AIDS,99,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408001,1408010,Region,Western (pre 2022),0,,0,1,HAKAIDMHRD,GHDHS1993408001,1993,DHS,100,100,,,1
GHA,Central,7771115,Men who have heard of HIV or AIDS,98,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408002,1408020,Region,Central,0,,0,1,HAKAIDMHRD,GHDHS1993408002,1993,DHS,101,101,,,1
GHA,Greater Accra,2858136,Men who have heard of HIV or AIDS,100,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408003,1408030,Region,Greater Accra,0,,0,1,HAKAIDMHRD,GHDHS1993408003,1993,DHS,150,150,,,1
GHA,Volta (pre 2022),5100189,Men who have heard of HIV or AIDS,98.1,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAKAIDMHRD,GHDHS1993408004,1993,DHS,157,157,,,1
GHA,Eastern,4426210,Men who have heard of HIV or AIDS,98.7,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408005,1408050,Region,Eastern,0,,0,1,HAKAIDMHRD,GHDHS1993408005,1993,DHS,152,152,,,1
GHA,Ashanti,4006619,Men who have heard of HIV or AIDS,99.4,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408006,1408060,Region,Ashanti,0,,0,1,HAKAIDMHRD,GHDHS1993408006,1993,DHS,162,162,,,1
GHA,Brong-Ahafo,5491059,Men who have heard of HIV or AIDS,100,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAKAIDMHRD,GHDHS1993408007,1993,DHS,105,105,,,1
GHA,"Northern, Upper West, Upper East",2850172,Men who have heard of HIV or AIDS,85.4,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAKAIDMHRD,GHDHS1993408008,1993,DHS,212,212,,,
GHA,Northern (pre 2022),6965745,Men who have heard of HIV or AIDS,79,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAKAIDMHRD,GHDHS1993408009,1993,DHS,119,119,,,1
GHA,Upper West,1591873,Men who have heard of HIV or AIDS,93.2,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408010,1408100,Region,..Upper West,0,,0,1,HAKAIDMHRD,GHDHS1993408010,1993,DHS,44,44,,,1
GHA,Upper East,6313404,Men who have heard of HIV or AIDS,93.9,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408011,1408110,Region,..Upper East,0,,0,1,HAKAIDMHRD,GHDHS1993408011,1993,DHS,49,49,,,1
GHA,Western (pre 2022),2835508,Number of men,100,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408001,1408010,Region,Western (pre 2022),0,,0,1,HAKAIDMNUM,GHDHS1993408001,1993,DHS,,100,,,1
GHA,Central,7766311,Number of men,101,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408002,1408020,Region,Central,0,,0,1,HAKAIDMNUM,GHDHS1993408002,1993,DHS,,101,,,1
GHA,Greater Accra,2858095,Number of men,150,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408003,1408030,Region,Greater Accra,0,,0,1,HAKAIDMNUM,GHDHS1993408003,1993,DHS,,150,,,1
GHA,Volta (pre 2022),2858134,Number of men,157,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAKAIDMNUM,GHDHS1993408004,1993,DHS,,157,,,1
GHA,Eastern,2858117,Number of men,152,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408005,1408050,Region,Eastern,0,,0,1,HAKAIDMNUM,GHDHS1993408005,1993,DHS,,152,,,1
GHA,Ashanti,2843112,Number of men,162,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408006,1408060,Region,Ashanti,0,,0,1,HAKAIDMNUM,GHDHS1993408006,1993,DHS,,162,,,1
GHA,Brong-Ahafo,5575020,Number of men,105,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAKAIDMNUM,GHDHS1993408007,1993,DHS,,105,,,1
GHA,"Northern, Upper West, Upper East",2850173,Number of men,212,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAKAIDMNUM,GHDHS1993408008,1993,DHS,,212,,,
GHA,Northern (pre 2022),7038227,Number of men,119,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAKAIDMNUM,GHDHS1993408009,1993,DHS,,119,,,1
GHA,Upper West,1628751,Number of men,44,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408010,1408100,Region,..Upper West,0,,0,1,HAKAIDMNUM,GHDHS1993408010,1993,DHS,,44,,,1
GHA,Upper East,6294699,Number of men,49,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_NUM,135164050,D,408011,1408110,Region,..Upper East,0,,0,1,HAKAIDMNUM,GHDHS1993408011,1993,DHS,,49,,,1
GHA,Western (pre 2022),2835545,Number of men (unweighted),100,0,GH,Ghana,1993,GH1993DHS,HA_KAID_M_UNW,135164060,U,408001,1408010,Region,Western (pre 2022),0,,0,1,HAKAIDMUNW,GHDHS1993408001,1993,DHS,100,,,,1
