ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),889412,Age specific fertility rate: 10-14,5,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A10,11763005,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FEFRTRWA10,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,895718,Age specific fertility rate: 10-14,0,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A10,11763005,I,408002,1408020,Region,Central,0,,0,1,FEFRTRWA10,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,889358,Age specific fertility rate: 10-14,0,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A10,11763005,I,408003,1408030,Region,Greater Accra,0,,0,1,FEFRTRWA10,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),882455,Age specific fertility rate: 10-14,3,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A10,11763005,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FEFRTRWA10,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,882471,Age specific fertility rate: 10-14,3,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A10,11763005,I,408005,1408050,Region,Eastern,0,,0,1,FEFRTRWA10,GHDHS1988408005,1988,DHS,,,,,1
GHA,Ashanti,882508,Age specific fertility rate: 10-14,4,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A10,11763005,I,408006,1408060,Region,Ashanti,0,,0,1,FEFRTRWA10,GHDHS1988408006,1988,DHS,,,,,1
GHA,Brong-Ahafo,882476,Age specific fertility rate: 10-14,0,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A10,11763005,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FEFRTRWA10,GHDHS1988408007,1988,DHS,,,,,1
GHA,Western (pre 2022),889413,Age specific fertility rate: 15-19,134,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FEFRTRWA15,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,895719,Age specific fertility rate: 15-19,171,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408002,1408020,Region,Central,0,,0,1,FEFRTRWA15,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,889360,Age specific fertility rate: 15-19,86,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408003,1408030,Region,Greater Accra,0,,0,1,FEFRTRWA15,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),882456,Age specific fertility rate: 15-19,141,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FEFRTRWA15,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,882472,Age specific fertility rate: 15-19,129,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408005,1408050,Region,Eastern,0,,0,1,FEFRTRWA15,GHDHS1988408005,1988,DHS,,,,,1
GHA,Ashanti,882509,Age specific fertility rate: 15-19,117,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408006,1408060,Region,Ashanti,0,,0,1,FEFRTRWA15,GHDHS1988408006,1988,DHS,,,,,1
GHA,Brong-Ahafo,882477,Age specific fertility rate: 15-19,149,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FEFRTRWA15,GHDHS1988408007,1988,DHS,,,,,1
GHA,"Northern, Upper West, Upper East",889354,Age specific fertility rate: 15-19,93,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_A15,11763010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FEFRTRWA15,GHDHS1988408008,1988,DHS,,,,,1
GHA,Western (pre 2022),382479,Neonatal mortality rate,39,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408001,1988,DHS,,,27,52,1
GHA,Central,744321,Neonatal mortality rate,87,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408002,1988,DHS,,,74,100,1
GHA,Greater Accra,333688,Neonatal mortality rate,41,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408003,1988,DHS,,,26,55,1
GHA,Volta (pre 2022),341881,Neonatal mortality rate,44,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408004,1988,DHS,,,24,64,1
GHA,Eastern,799738,Neonatal mortality rate,40,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408005,1988,DHS,,,25,56,1
GHA,Ashanti,554451,Neonatal mortality rate,45,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408006,1988,DHS,,,31,59,1
GHA,Brong-Ahafo,724900,Neonatal mortality rate,40,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408007,1988,DHS,,,28,52,1
GHA,"Northern, Upper West, Upper East",378215,Neonatal mortality rate,44,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408008,1988,DHS,,,26,61,1
GHA,Western (pre 2022),462987,Under-five mortality rate,148,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408001,1988,DHS,,,122,174,1
GHA,Central,585694,Under-five mortality rate,210,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408002,1988,DHS,,,173,247,1
GHA,Greater Accra,485098,Under-five mortality rate,104,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408003,1988,DHS,,,75,133,1
GHA,Volta (pre 2022),397981,Under-five mortality rate,134,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408004,1988,DHS,,,104,163,1
GHA,Eastern,7310013,Under-five mortality rate,138,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408005,1988,DHS,,,115,161,1
GHA,Ashanti,629864,Under-five mortality rate,145,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408006,1988,DHS,,,117,173,1
GHA,Brong-Ahafo,341885,Under-five mortality rate,122,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408007,1988,DHS,,,92,152,1
GHA,"Northern, Upper West, Upper East",912341,Under-five mortality rate,221,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408008,1988,DHS,,,187,255,1
GHA,Western (pre 2022),6299796,Assistance during delivery from a skilled provider,41.9,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,RHDELACSKP,GHDHS1988408001,1988,DHS,227,227,,,1
GHA,Western (pre 2022),433962,Assistance during delivery from a skilled provider,39.9,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,408001,1408010,Region,Western (pre 2022),14001,Five years preceding the survey,0,0,RHDELACSKP,GHDHS1988408001,1988,DHS,363,363,,,1
GHA,Western (pre 2022),7327177,Assistance during delivery from a skilled provider,40,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,408001,1408010,Region,Western (pre 2022),14002,Two years preceding the survey,0,1,RHDELACSKP,GHDHS1988408001,1988,DHS,155,155,,,1
GHA,Central,1822641,Assistance during delivery from a skilled provider,31.3,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,RHDELACSKP,GHDHS1988408002,1988,DHS,284,284,,,1
GHA,Central,6201089,Assistance during delivery from a skilled provider,30.4,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,408002,1408020,Region,Central,14001,Five years preceding the survey,0,0,RHDELACSKP,GHDHS1988408002,1988,DHS,473,473,,,1
GHA,Central,4581305,Assistance during delivery from a skilled provider,33.3,1,GH,Ghana,1988,GH1988DHS,RH_DELA_C_SKP,83606110,I,408002,1408020,Region,Central,14002,Two years preceding the survey,0,1,RHDELACSKP,GHDHS1988408002,1988,DHS,189,189,,,1
