region,district_261,lat,lon,illiteracy_rate,poverty_incidence,illiteracy_rate_lisaI,illiteracy_rate_lag,illiteracy_rate_p,illiteracy_rate_cluster,poverty_incidence_lisaI,poverty_incidence_lag,poverty_incidence_p,poverty_incidence_cluster
Ahafo,Asunafo North Municipal,6.81509969999999,-2.67736640122449,26.321913551679916,26.1,-0.0148,1.2012,0.858,NS,0.0191,-2.3203,0.67,NS
Ahafo,Asunafo South,6.56280465,-2.53279356335542,28.8931543302106,26.2,0.0002,-0.4335,0.934,NS,0.0168,-2.187,0.701,NS
Ahafo,Asutifi North,7.07651835,-2.52531850396715,25.55060090271358,26.6,0.0884,-5.5722,0.373,NS,0.0381,-6.9536,0.175,NS
Ahafo,Asutifi South,6.84924284999999,-2.46125343688365,29.25862120177028,23.2,-0.0033,-2.5917,0.65,NS,0.0545,-2.237,0.704,NS
Ahafo,Tano North Municipal,7.19329065,-2.2080833699397,23.449988277670027,21.6,0.1977,-7.7343,0.208,NS,0.2643,-7.9536,0.148,NS
Ahafo,Tano South Municipal,7.16093674999999,-1.99681708617696,27.90582717355068,23.7,0.0089,-1.7872,0.784,NS,0.0357,-1.6536,0.752,NS
Ashanti,Adansi Asokwa,6.2467263,-1.50841,28.261232670786704,32.4,0.0303,-9.0771,0.129,NS,-0.1599,-5.987,0.278,NS
Ashanti,Adansi North,6.3006124,-1.5897139446089,18.15714153817745,19.7,0.35,-6.9979,0.269,NS,0.2161,-4.937,0.383,NS
Ashanti,Adansi South,6.00427495,-1.39314032189093,27.070422535211268,35.0,0.0447,-5.0505,0.354,NS,-0.0646,-1.5703,0.759,NS
Ashanti,Afigya Kwabre North,7.03891495,-1.62667127242319,23.97927178508114,25.2,0.2644,-11.4341,0.049,LL,0.1321,-9.9703,0.07,NS
Ashanti,Afigya Kwabre South,6.83998064999999,-1.60957900170106,13.424980930424814,13.0,1.1146,-15.5064,0.009,LL,1.394,-17.2203,0.004,LL
Ashanti,Ahafo Ano North Municipal,6.90966445,-2.23301229669742,24.91643484074098,26.5,0.0568,-3.025,0.603,NS,0.018,-2.987,0.576,NS
Ashanti,Ahafo Ano South East,6.94633355,-1.90095355028736,32.23514211886305,31.8,-0.0905,-6.0294,0.292,NS,-0.1373,-5.8703,0.271,NS
Ashanti,Ahafo Ano South West,6.8289788,-2.00038660056909,31.427702599969592,31.9,-0.0835,-7.3987,0.204,NS,-0.1688,-7.0536,0.19,NS
Ashanti,Akrofuom,6.03262245,-1.67136425707588,30.03388042441825,37.0,-0.0324,-6.6877,0.277,NS,-0.183,-3.5036,0.526,NS
Ashanti,Amansie Central,6.20744165,-1.82814118592735,29.44160254481365,28.6,-0.0143,-6.7912,0.264,NS,-0.0219,-3.887,0.439,NS
Ashanti,Amansie South,6.30802585,-2.01186652006877,30.172771861605764,30.3,-0.0314,-5.7123,0.365,NS,-0.0487,-3.237,0.553,NS
Ashanti,Amansie West,6.43975084999999,-1.85237045719587,26.997078853205718,31.0,0.0801,-8.7297,0.136,NS,-0.1346,-7.1036,0.201,NS
Ashanti,Asante Akim Central Municipal,6.56465915,-1.25347851347396,17.219901170464585,16.9,0.5092,-9.3697,0.099,NS,0.4994,-8.4203,0.107,NS
Ashanti,Asante Akim North Municipal,6.906722,-0.958978,23.84685805497524,26.0,0.1645,-6.9296,0.26,NS,0.0231,-2.6203,0.621,NS
Ashanti,Asante Akim South Municipal,6.46141735,-1.11533920112058,25.618564622714,24.6,0.1077,-6.928,0.258,NS,0.1064,-6.4203,0.251,NS
Ashanti,Asokore Mampong Municipal,6.7077852,-1.5665013,19.35089497497414,11.3,0.7958,-17.8821,0.002,LL,1.6846,-18.637,0.001,LL
Ashanti,Asokwa Municipal,6.6739843,-1.6026178,10.732080036930324,6.3,1.4493,-17.1891,0.005,LL,2.1249,-17.987,0.002,LL
Ashanti,Atwima Kwanwoma,6.65,-1.73333,13.568040332813844,13.8,1.2167,-17.084,0.005,LL,1.4234,-18.6036,0.001,LL
Ashanti,Atwima Mponua,6.5558963,-2.17659077213842,29.223723704381207,25.1,-0.0033,-3.0016,0.606,NS,-0.0142,1.0297,0.848,NS
Ashanti,Atwima Nwabiagya North,6.87764335,-1.74489585317473,15.73681664247702,13.5,0.5849,-9.5582,0.115,NS,0.7052,-9.0203,0.089,NS
Ashanti,Atwima Nwabiagya South Municipal,7.0689359,-2.0226618,13.833828516365749,12.5,0.1064,-1.5208,0.817,NS,0.091,-1.087,0.861,NS
Ashanti,Bekwai Municipal,6.43631235,-1.59282285301503,17.872389774366333,19.4,0.5629,-10.9655,0.059,NS,0.4144,-9.1203,0.099,NS
Ashanti,Bosome Freho,6.3681227,-1.36632312680072,28.545270563292053,31.3,0.0173,-8.5491,0.166,NS,-0.1354,-6.5703,0.236,NS
Ashanti,Bosomtwi,6.1777503,-0.1969922,13.871534084029545,16.1,0.8196,-11.7395,0.045,LL,0.6399,-10.037,0.059,NS
Ashanti,Ejisu Municipal,6.7139918,-1.4665782,14.908451054929367,13.5,1.0652,-16.381,0.007,LL,1.4231,-18.2036,0.001,LL
Ashanti,Ejura Sekyedumase Municipal,7.38567515,-1.39945747215309,35.88166075890523,25.0,-0.002,-0.064,0.988,NS,0.006,-0.4203,0.933,NS
Ashanti,Juaben Municipal,6.0721368,-0.260652306105858,21.971249354752928,20.9,0.4291,-13.2442,0.019,LL,0.4158,-11.2036,0.038,LL
Ashanti,"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",6.698152,-1.621229,10.821385531991575,8.9,1.4435,-17.204,0.002,LL,1.9103,-18.4203,0.002,LL
Ashanti,Kwabre East,6.7897864,-1.53792852576917,12.887195347928332,10.6,1.1656,-15.6748,0.008,LL,1.5684,-16.637,0.004,LL
Ashanti,Kwadaso Municipal,6.68059249999999,-1.67467000057054,8.426413677957107,9.5,1.5411,-16.2271,0.009,LL,1.7954,-17.887,0.004,LL
