GHO (DISPLAY),YEAR (DISPLAY),COUNTRY (DISPLAY),DIMENSION (NAME),Value,Numeric,Low,High
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2003,Ghana,Female,46.3 [37.5-56.1],46.3,37.5,56.1
Adolescent birth rate (per 1000 women),2016,Ghana,Female,1.9,1.874162078,,
Adolescent birth rate (per 1000 women),2003,Ghana,Female,73.3,73.25455475,,
Adolescent birth rate (per 1000 women),2002,Ghana,Female,0.4,0.448340803,,
Adolescent birth rate (per 1000 women),2005,Ghana,Female,1.7,1.684257865,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2005,Ghana,Female,45.2 [36.1-55.3],45.2,36.1,55.3
Adolescent birth rate (per 1000 women),2014,Ghana,Female,5.5,5.471557617,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2005,Ghana,Female,52.6 [45.6-60.2],52.6,45.6,60.2
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2012,Ghana,Female,40.7 [32.2-49.2],40.7,32.2,49.2
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2016,Ghana,Female,260.7 [229.7-296.6],260.7,229.7,296.6
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2009,Ghana,Female,258.6 [222.2-297.6],258.6,222.2,297.6
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2011,Ghana,Female,41.5 [32.8-50.4],41.5,32.8,50.4
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2012,Ghana,Female,41.3 [33.3-49.4],41.3,33.3,49.4
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2014,Ghana,Female,2808.0 [2284.2-3341.8],2808.0,2284.2,3341.8
Proportion of births delivered in a health facility (Facility births) (%),2006,Ghana,,48.7,48.7,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2015,Ghana,Female,47.1 [41.4-53.7],47.1,41.4,53.7
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2011,Ghana,Female,2780.8 [2224.9-3332.9],2780.8,2224.9,3332.9
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2014,Ghana,Female,2542.7 [2031.9-3063.6],2542.7,2031.9,3063.6
Adolescent birth rate (per 1000 women),2002,Ghana,Female,73.7,73.66641998,,
Proportion of births delivered in a health facility (Facility births) (%),2018,Ghana,,77.9,77.9,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2000,Ghana,Female,1986.1 [1511.2-2522.6],1986.1,1511.2,2522.6
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2000,Ghana,Female,241.4 [202.6-282.1],241.4,202.6,282.1
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2012,Ghana,Female,2788.9 [2245.2-3335.1],2788.9,2245.2,3335.1
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2021,Ghana,Female,45.2 [38.9-52.0],45.2,38.9,52.0
Adolescent birth rate (per 1000 women),2009,Ghana,Female,2.2,2.227718353,,
Adolescent birth rate (per 1000 women),2007,Ghana,Female,80.3,80.30833435,,
Adolescent birth rate (per 1000 women),2012,Ghana,Female,0.9,0.912721813,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2016,Ghana,Female,37.8 [30.4-45.6],37.8,30.4,45.6
Births by caesarean section (%),2014,Ghana,,12.8,12.8,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2010,Ghana,Female,262.2 [225.5-301.0],262.2,225.5,301.0
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2000,Ghana,Female,46.4 [35.3-58.9],46.4,35.3,58.9
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2006,Ghana,Female,2626.4 [2130.7-3161.9],2626.4,2130.7,3161.9
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2011,Ghana,Female,265.1 [228.7-304.0],265.1,228.7,304.0
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2010,Ghana,Female,2770.2 [2216.5-3332.6],2770.2,2216.5,3332.6
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2010,Ghana,Female,2508.0 [1975.8-3065.0],2508.0,1975.8,3065.0
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2005,Ghana,Female,45.9 [37.3-55.4],45.9,37.3,55.4
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2013,Ghana,Female,40.6 [32.8-48.4],40.6,32.8,48.4
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2014,Ghana,Female,39.2 [31.3-47.2],39.2,31.3,47.2
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2006,Ghana,Female,44.9 [35.8-54.8],44.9,35.8,54.8
Adolescent birth rate (per 1000 women),2003,Ghana,Female,2.2,2.192457676,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2021,Ghana,Female,35.5 [27.7-43.9],35.5,27.7,43.9
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2023,Ghana,Female,3099.3 [2348.0-3899.6],3099.3,2348.0,3899.6
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2002,Ghana,Female,46.5 [37.4-57.0],46.5,37.4,57.0
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2004,Ghana,Female,45.5 [36.3-55.7],45.5,36.3,55.7
Proportion of births delivered in a health facility (Facility births) (%),1993,Ghana,,42.2,42.2,,
Adolescent birth rate (per 1000 women),2004,Ghana,Female,2.0,1.972976804,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2014,Ghana,Female,47.5 [41.6-54.2],47.5,41.6,54.2
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2008,Ghana,Female,256.9 [221.0-294.9],256.9,221.0,294.9
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2015,Ghana,Female,265.1 [232.8-302.2],265.1,232.8,302.2
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2023,Ghana,Female,36.0 [27.2-45.3],36.0,27.2,45.3
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2018,Ghana,Female,2874.6 [2350.3-3443.7],2874.6,2350.3,3443.7
Births attended by skilled health personnel (%),2008,Ghana,,55,55.0,,
Adolescent birth rate (per 1000 women),2014,Ghana,Female,76.7,76.65619659,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2015,Ghana,Female,2555.5 [2048.9-3084.1],2555.5,2048.9,3084.1
Proportion of births delivered in a health facility (Facility births) (%),2014,Ghana,,73.1,73.1,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2014,Ghana,Female,39.8 [32.4-47.4],39.8,32.4,47.4
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2006,Ghana,Female,52.2 [45.1-59.7],52.2,45.1,59.7
Adolescent birth rate (per 1000 women),2006,Ghana,Female,1.2,1.249065757,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2001,Ghana,Female,53.8 [45.9-62.2],53.8,45.9,62.2
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2020,Ghana,Female,249.8 [218.2-285.6],249.8,218.2,285.6
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2018,Ghana,Female,251.6 [221.5-286.1],251.6,221.5,286.1
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2004,Ghana,Female,46.1 [37.5-55.7],46.1,37.5,55.7
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2009,Ghana,Female,43.7 [35.0-52.7],43.7,35.0,52.7
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2019,Ghana,Female,36.1 [28.9-44.1],36.1,28.9,44.1
Adolescent birth rate (per 1000 women),2013,Ghana,Female,76.3,76.29815674,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2011,Ghana,Female,49.2 [42.5-56.5],49.2,42.5,56.5
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2017,Ghana,Female,2600.8 [2103.1-3143.2],2600.8,2103.1,3143.2
Proportion of births delivered in a health facility (Facility births) (%),1998,Ghana,,43.4,43.4,,
