variable,n,mean,sd,min,median,max,national_popwt
x_final_say_women,16,52.86,11.12,38.1,52.45,71.3,56.43
x_wifebeating_justified_women,16,24.57,15.07,5.8,20.25,57.8,18.86
x_no_land_women,16,85.88,5.04,76.1,85.75,94.2,87.3
x_women_no_education,16,22.28,17.1,4.4,15.75,55.1,15.88
x_women_secondary_plus,16,62.66,17.9,31.8,70.9,84.6,70.37
x_women_literate,16,53.71,15.72,27.2,53.1,79.2,61.22
x_women_cannot_read,16,45.87,15.68,20.5,46.65,72.0,38.46
x_ipv_any,16,29.68,7.38,18.3,27.6,46.9,28.21
x_own_decision_all3,16,48.99,11.66,28.5,49.15,69.0,53.01
m_skilled_delivery,16,87.1,8.57,70.3,89.8,98.0,88.93
y_asfr_15_19,16,68.75,24.05,36.0,63.5,121.0,61.63
m_modern_cpr_married,16,27.63,6.62,14.9,28.85,35.8,28.14
m_fp_demand_satisfied_modern,16,47.27,7.19,36.6,46.45,61.9,46.24
y_women_any_anemia,16,41.94,5.67,30.1,43.1,51.8,41.08
y_children_any_anemia,16,51.09,11.98,35.4,48.7,69.4,46.81
y_u5mr,16,44.81,12.11,20.0,45.5,72.0,41.5
y_nmr,16,19.5,7.72,10.0,15.5,32.0,18.26
y_imr,16,29.94,9.26,16.0,30.0,46.0,28.79
m_ever_hiv_test,16,53.94,9.77,31.3,57.4,66.2,57.5
m_anc_hiv_test,16,71.34,15.9,32.8,74.25,88.9,75.66
m_hiv_mtct_knowledge_women,16,66.0,13.41,39.4,71.15,79.6,69.95
ctx_total_pop,16,1925715.38,1567817.08,564668.0,1254937.5,5445135.0,30811446.0
ctx_n_districts,16,16.31,10.57,6.0,13.0,43.0,23.71
ctx_illiteracy_rate,16,32.51,12.94,10.56,29.19,53.63,25.72
ctx_uninsured_rate,16,28.79,10.19,13.54,27.21,47.71,31.14
ctx_poverty_incidence,16,29.86,11.47,11.67,26.41,49.43,24.3
ctx_female_15_64_share,16,29.8,1.9,26.91,29.6,33.92,30.83
